Rows,Cols,Strain,Isolate,Well,uid
A,1,NIY110,1,A1,NIY110_1
A,2,CIT,1,A2,CIT_1
A,3,MIN,1,A3,MIN_1
A,4,MAX,1,A4,MAX_1
A,5,000,1,A5,000_1
A,6,333,1,A6,333_1
A,7,666,1,A7,666_1
A,8,999,1,A8,999_1
B,1,NIY110,2,B1,NIY110_2
B,2,CIT,2,B2,CIT_2
B,3,MIN,2,B3,MIN_2
B,4,MAX,2,B4,MAX_2
B,5,000,2,B5,000_2
B,6,333,2,B6,333_2
B,7,666,2,B7,666_2
B,8,999,2,B8,999_2
C,1,NIY110,3,C1,NIY110_3
C,2,CIT,3,C2,CIT_3
C,3,MIN,3,C3,MIN_3
C,4,MAX,3,C4,MAX_3
C,5,000,3,C5,000_3
C,6,333,3,C6,333_3
C,7,666,3,C7,666_3
C,8,999,3,C8,999_3
D,1,NIY110,4,D1,NIY110_4
D,2,CIT,4,D2,CIT_4
D,3,MIN,4,D3,MIN_4
D,4,MAX,4,D4,MAX_4
D,5,000,4,D5,000_4
D,6,333,4,D6,333_4
D,7,666,4,D7,666_4
D,8,999,4,D8,999_4
E,1,NIY110,5,E1,NIY110_5
E,2,CIT,5,E2,CIT_5
E,3,MIN,5,E3,MIN_5
E,4,MAX,5,E4,MAX_5
E,5,000,5,E5,000_5
E,6,333,5,E6,333_5
E,7,666,5,E7,666_5
E,8,999,5,E8,999_5
F,1,NIY110,6,F1,NIY110_6
F,2,CIT,6,F2,CIT_6
F,3,MIN,6,F3,MIN_6
F,4,MAX,6,F4,MAX_6
F,5,000,6,F5,000_6
F,6,333,6,F6,333_6
F,7,666,6,F7,666_6
F,8,999,6,F8,999_6
G,1,NIY110,7,G1,NIY110_7
G,2,CIT,7,G2,CIT_7
G,3,MIN,7,G3,MIN_7
G,4,MAX,7,G4,MAX_7
G,5,000,7,G5,000_7
G,6,333,7,G6,333_7
G,7,666,7,G7,666_7
G,8,999,7,G8,999_7
H,1,NIY110,8,H1,NIY110_8
H,2,CIT,8,H2,CIT_8
H,3,MIN,8,H3,MIN_8
H,4,MAX,8,H4,MAX_8
H,5,000,8,H5,000_8
H,6,333,8,H6,333_8
H,7,666,8,H7,666_8
H,8,999,8,H8,999_8
